,liste,nomNuance,nuance,annee,election,tour,region,departement,canton,inscrits,votants,exprimes,voix,clef,code_canton,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
0,M. AARSSE Rodéric et Mme BELHOMME Jacqueline,Divers gauche,BC-DVG,2015,Départementales,1,11,92,18,47371,22907,22173,5238,Départementales12015,92018,23.62,48.36,1.55,Rose clair,#FFAECD
1,M. AARSSE Rodéric et Mme BELHOMME Jacqueline,Divers gauche,BC-DVG,2015,Départementales,1,11,92,18,47371,22907,22173,5238,Départementales12015,92018,23.62,48.36,1.55,Rose,#FF5E9A
2,M. ABAILLE Aurélien et Mme FARO ÉPOUSE COURIOL Lydia,Divers gauche,BC-DVG,2015,Départementales,1,01,971,17,16427,6664,6017,2496,Départementales12015,97117,41.48,40.57,3.94,Rose clair,#FFAECD
3,M. ABAILLE Aurélien et Mme FARO ÉPOUSE COURIOL Lydia,Divers gauche,BC-DVG,2015,Départementales,1,01,971,17,16427,6664,6017,2496,Départementales12015,97117,41.48,40.57,3.94,Rose,#FF5E9A
4,M. ABAILLE Aurélien et Mme FARO ÉPOUSE COURIOL Lydia,Divers gauche,BC-DVG,2015,Départementales,2,01,971,17,16420,7706,7019,4174,Départementales22015,97117,59.47,46.93,4.18,Rose clair,#FFAECD
5,M. ABAILLE Aurélien et Mme FARO ÉPOUSE COURIOL Lydia,Divers gauche,BC-DVG,2015,Départementales,2,01,971,17,16420,7706,7019,4174,Départementales22015,97117,59.47,46.93,4.18,Rose,#FF5E9A
6,M. ABDALLAH Nourdine et Mme SEBDA Chahrazed,Divers gauche,BC-DVG,2015,Départementales,1,93,13,29,48466,22541,21540,1355,Départementales12015,13029,6.29,46.51,2.07,Rose clair,#FFAECD
7,M. ABDALLAH Nourdine et Mme SEBDA Chahrazed,Divers gauche,BC-DVG,2015,Départementales,1,93,13,29,48466,22541,21540,1355,Départementales12015,13029,6.29,46.51,2.07,Rose,#FF5E9A
8,M. ABDELOUAHED Samir et Mme BALLUT Paule,Divers gauche,BC-DVG,2015,Départementales,1,11,92,20,43468,18787,17875,2540,Départementales12015,92020,14.21,43.22,2.1,Rose clair,#FFAECD
9,M. ABDELOUAHED Samir et Mme BALLUT Paule,Divers gauche,BC-DVG,2015,Départementales,1,11,92,20,43468,18787,17875,2540,Départementales12015,92020,14.21,43.22,2.1,Rose,#FF5E9A
10,M. ABELLI Thierry et Mme GUSTAVE DIT DUFLO Sylvie,Divers gauche,BC-DVG,2015,Départementales,1,01,971,21,16121,8854,8276,1801,Départementales12015,97121,21.76,54.92,3.59,Rose clair,#FFAECD
11,M. ABELLI Thierry et Mme GUSTAVE DIT DUFLO Sylvie,Divers gauche,BC-DVG,2015,Départementales,1,01,971,21,16121,8854,8276,1801,Départementales12015,97121,21.76,54.92,3.59,Rose,#FF5E9A
12,M. ABRIAL Raymond et Mme GALLIEN Cécile,Divers gauche,BC-DVG,2015,Départementales,1,84,43,06,9926,5554,5198,2229,Départementales12015,43006,42.88,55.95,3.59,Rose clair,#FFAECD
13,M. ABRIAL Raymond et Mme GALLIEN Cécile,Divers gauche,BC-DVG,2015,Départementales,1,84,43,06,9926,5554,5198,2229,Départementales12015,43006,42.88,55.95,3.59,Rose,#FF5E9A
14,M. ABRIAL Raymond et Mme GALLIEN Cécile,Divers gauche,BC-DVG,2015,Départementales,2,84,43,06,9925,5521,5043,3775,Départementales22015,43006,74.86,55.63,4.82,Rose clair,#FFAECD
15,M. ABRIAL Raymond et Mme GALLIEN Cécile,Divers gauche,BC-DVG,2015,Départementales,2,84,43,06,9925,5521,5043,3775,Départementales22015,43006,74.86,55.63,4.82,Rose,#FF5E9A
16,M. ACHERIA Nouredine et Mme LAGREZE-LEGRAND Cathy,Divers gauche,BC-DVG,2015,Départementales,1,27,21,06,12150,6113,5884,411,Départementales12015,21006,6.99,50.31,1.88,Rose clair,#FFAECD
17,M. ACHERIA Nouredine et Mme LAGREZE-LEGRAND Cathy,Divers gauche,BC-DVG,2015,Départementales,1,27,21,06,12150,6113,5884,411,Départementales12015,21006,6.99,50.31,1.88,Rose,#FF5E9A
18,M. AGIUS Paul et Mme OULD AMEZIANE Rosa,Divers gauche,BC-DVG,2015,Départementales,1,75,33,31,26170,12902,12534,446,Départementales12015,33031,3.56,49.3,1.41,Rose clair,#FFAECD
19,M. AGIUS Paul et Mme OULD AMEZIANE Rosa,Divers gauche,BC-DVG,2015,Départementales,1,75,33,31,26170,12902,12534,446,Départementales12015,33031,3.56,49.3,1.41,Rose,#FF5E9A
20,M. AGUER Michel et Mme BONHOMME Mireille,Divers gauche,BC-DVG,2015,Départementales,1,75,64,11,21056,11196,10664,1034,Départementales12015,64011,9.7,53.17,2.53,Rose clair,#FFAECD
21,M. AGUER Michel et Mme BONHOMME Mireille,Divers gauche,BC-DVG,2015,Départementales,1,75,64,11,21056,11196,10664,1034,Départementales12015,64011,9.7,53.17,2.53,Rose,#FF5E9A
22,M. AHAMADI Saïd et Mme ALI Zenabou,Divers gauche,BC-DVG,2015,Départementales,1,06,976,05,3520,1801,1725,471,Départementales12015,97605,27.3,51.16,2.16,Rose clair,#FFAECD
23,M. AHAMADI Saïd et Mme ALI Zenabou,Divers gauche,BC-DVG,2015,Départementales,1,06,976,05,3520,1801,1725,471,Départementales12015,97605,27.3,51.16,2.16,Rose,#FF5E9A
24,M. AHAMADI Saïd et Mme ALI Zenabou,Divers gauche,BC-DVG,2015,Départementales,2,06,976,05,3525,1925,1858,640,Départementales22015,97605,34.45,54.61,1.9,Rose clair,#FFAECD
25,M. AHAMADI Saïd et Mme ALI Zenabou,Divers gauche,BC-DVG,2015,Départementales,2,06,976,05,3525,1925,1858,640,Départementales22015,97605,34.45,54.61,1.9,Rose,#FF5E9A
26,M. AJAGUIN-SOLEYEN Iréné et Mme CHAROLAIS-HOARAU Céline,Divers gauche,BC-DVG,2015,Départementales,1,04,974,17,24858,11140,9918,873,Départementales12015,97417,8.8,44.81,4.92,Rose clair,#FFAECD
27,M. AJAGUIN-SOLEYEN Iréné et Mme CHAROLAIS-HOARAU Céline,Divers gauche,BC-DVG,2015,Départementales,1,04,974,17,24858,11140,9918,873,Départementales12015,97417,8.8,44.81,4.92,Rose,#FF5E9A
28,M. ALAMELOU Daniel et Mme TIPAKA Nadia,Divers gauche,BC-DVG,2015,Départementales,1,04,974,04,23719,11139,10034,3882,Départementales12015,97404,38.69,46.96,4.66,Rose clair,#FFAECD
29,M. ALAMELOU Daniel et Mme TIPAKA Nadia,Divers gauche,BC-DVG,2015,Départementales,1,04,974,04,23719,11139,10034,3882,Départementales12015,97404,38.69,46.96,4.66,Rose,#FF5E9A
30,M. ALAMELOU Daniel et Mme TIPAKA Nadia,Divers gauche,BC-DVG,2015,Départementales,2,04,974,04,23719,13633,12364,5442,Départementales22015,97404,44.01,57.48,5.35,Rose clair,#FFAECD
31,M. ALAMELOU Daniel et Mme TIPAKA Nadia,Divers gauche,BC-DVG,2015,Départementales,2,04,974,04,23719,13633,12364,5442,Départementales22015,97404,44.01,57.48,5.35,Rose,#FF5E9A
32,M. ALBANO Gérald et Mme AZZOUZI Nora,Divers gauche,BC-DVG,2015,Départementales,1,75,40,14,24842,13102,12448,1427,Départementales12015,40014,11.46,52.74,2.63,Rose clair,#FFAECD
33,M. ALBANO Gérald et Mme AZZOUZI Nora,Divers gauche,BC-DVG,2015,Départementales,1,75,40,14,24842,13102,12448,1427,Départementales12015,40014,11.46,52.74,2.63,Rose,#FF5E9A
34,M. ALDEBERT Didier et Mme MATEILLE Séverine,Divers gauche,BC-DVG,2015,Départementales,1,76,11,06,16812,9419,9013,3028,Départementales12015,11006,33.6,56.03,2.41,Rose clair,#FFAECD
35,M. ALDEBERT Didier et Mme MATEILLE Séverine,Divers gauche,BC-DVG,2015,Départementales,1,76,11,06,16812,9419,9013,3028,Départementales12015,11006,33.6,56.03,2.41,Rose,#FF5E9A
36,M. ALDEBERT Didier et Mme MATEILLE Séverine,Divers gauche,BC-DVG,2015,Départementales,2,76,11,06,16811,9864,8967,5212,Départementales22015,11006,58.12,58.68,5.34,Rose clair,#FFAECD
37,M. ALDEBERT Didier et Mme MATEILLE Séverine,Divers gauche,BC-DVG,2015,Départementales,2,76,11,06,16811,9864,8967,5212,Départementales22015,11006,58.12,58.68,5.34,Rose,#FF5E9A
38,M. ALEXANDRE Robin et Mme DEBARRE Charline,Divers gauche,BC-DVG,2015,Départementales,1,75,79,11,12784,5848,5612,434,Départementales12015,79011,7.73,45.74,1.85,Rose clair,#FFAECD
39,M. ALEXANDRE Robin et Mme DEBARRE Charline,Divers gauche,BC-DVG,2015,Départementales,1,75,79,11,12784,5848,5612,434,Départementales12015,79011,7.73,45.74,1.85,Rose,#FF5E9A
40,M. ALI CHERIF Arab et Mme DJERROUD Sadia,Divers gauche,BC-DVG,2015,Départementales,1,11,93,01,27236,7849,7493,382,Départementales12015,93001,5.1,28.82,1.31,Rose clair,#FFAECD
41,M. ALI CHERIF Arab et Mme DJERROUD Sadia,Divers gauche,BC-DVG,2015,Départementales,1,11,93,01,27236,7849,7493,382,Départementales12015,93001,5.1,28.82,1.31,Rose,#FF5E9A
42,M. ALI Mohamed et Mme ALI Ramlati,Divers gauche,BC-DVG,2015,Départementales,1,06,976,11,3793,2423,2335,684,Départementales12015,97611,29.29,63.88,2.32,Rose clair,#FFAECD
43,M. ALI Mohamed et Mme ALI Ramlati,Divers gauche,BC-DVG,2015,Départementales,1,06,976,11,3793,2423,2335,684,Départementales12015,97611,29.29,63.88,2.32,Rose,#FF5E9A
