,nom_liste,nuance,annee,election,tour,region,departement,inscrits,votants,exprimes,voix,clef
0,ALLIANCE JAUNE,N.C.,2019,Européennes,1,01,971,307795,44223,38256,6,Européennes12019
1,ALLIANCE JAUNE,N.C.,2019,Européennes,1,02,972,301572,45909,39362,91,Européennes12019
2,ALLIANCE JAUNE,N.C.,2019,Européennes,1,03,973,93052,12480,11522,6,Européennes12019
3,ALLIANCE JAUNE,N.C.,2019,Européennes,1,04,974,644089,197472,179718,91,Européennes12019
4,ALLIANCE JAUNE,N.C.,2019,Européennes,1,06,976,78603,22509,21063,50,Européennes12019
5,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,75,1306810,756387,744055,1352,Européennes12019
6,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,77,878868,417810,402821,2275,Européennes12019
7,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,78,951477,513068,499526,1617,Européennes12019
8,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,91,793186,395679,383957,1614,Européennes12019
9,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,92,979624,540545,526874,1294,Européennes12019
10,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,93,768747,302965,290924,1397,Européennes12019
11,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,94,786118,385196,374156,1336,Européennes12019
12,ALLIANCE JAUNE,N.C.,2019,Européennes,1,11,95,721691,324558,313687,1638,Européennes12019
13,ALLIANCE JAUNE,N.C.,2019,Européennes,1,24,18,225123,117002,109823,836,Européennes12019
14,ALLIANCE JAUNE,N.C.,2019,Européennes,1,24,28,298312,153634,146018,1054,Européennes12019
15,ALLIANCE JAUNE,N.C.,2019,Européennes,1,24,36,167551,90493,83231,590,Européennes12019
16,ALLIANCE JAUNE,N.C.,2019,Européennes,1,24,37,427456,224977,214817,1170,Européennes12019
17,ALLIANCE JAUNE,N.C.,2019,Européennes,1,24,41,241935,133444,124923,829,Européennes12019
18,ALLIANCE JAUNE,N.C.,2019,Européennes,1,24,45,449303,233608,223651,1413,Européennes12019
19,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,21,356910,193144,185690,876,Européennes12019
20,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,25,362971,188003,178875,1031,Européennes12019
21,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,39,186501,102371,96893,650,Européennes12019
22,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,58,155801,83551,78943,425,Européennes12019
23,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,70,176613,98586,91944,687,Européennes12019
24,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,71,401864,204713,193714,1095,Européennes12019
25,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,89,237030,126430,120418,734,Européennes12019
26,ALLIANCE JAUNE,N.C.,2019,Européennes,1,27,90,93327,48532,45920,267,Européennes12019
27,ALLIANCE JAUNE,N.C.,2019,Européennes,1,28,14,496210,273161,261230,1717,Européennes12019
28,ALLIANCE JAUNE,N.C.,2019,Européennes,1,28,27,424550,226749,216388,1433,Européennes12019
29,ALLIANCE JAUNE,N.C.,2019,Européennes,1,28,50,377462,198264,185862,1217,Européennes12019
30,ALLIANCE JAUNE,N.C.,2019,Européennes,1,28,61,204897,112185,105820,674,Européennes12019
31,ALLIANCE JAUNE,N.C.,2019,Européennes,1,28,76,867250,462272,442085,2808,Européennes12019
32,ALLIANCE JAUNE,N.C.,2019,Européennes,1,32,02,371723,195472,185784,1238,Européennes12019
