nomNuance,nuance,annee,election,tour,region,departement,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
Debout la France,BC-DLF,2015,Départementales,1,04,974,615757,269789,239890,3030,Départementales12015,43.81,43.81,4.86,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,11,77,857845,385543,369886,1339,Départementales12015,44.94,44.94,1.83,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,11,78,949891,430548,416282,6462,Départementales12015,45.33,45.33,1.5,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,11,91,782340,371018,356993,14177,Départementales12015,47.42,47.42,1.79,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,11,92,969410,447043,430420,1081,Départementales12015,46.11,46.11,1.71,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,11,94,778276,345845,335151,1678,Départementales12015,44.44,44.44,1.37,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,11,95,719446,291280,280846,4750,Départementales12015,40.49,40.49,1.45,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,24,18,229123,116862,110056,470,Départementales12015,51.0,51.0,2.97,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,24,37,420269,213818,204118,481,Départementales12015,50.88,50.88,2.31,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,24,41,244044,130353,124348,225,Départementales12015,53.41,53.41,2.46,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,24,45,445425,222634,212807,657,Départementales12015,49.98,49.98,2.21,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,27,89,241821,125669,119221,505,Départementales12015,51.97,51.97,2.67,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,28,14,490613,252306,239565,629,Départementales12015,51.43,51.43,2.6,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,28,27,421376,212868,203608,796,Départementales12015,50.52,50.52,2.2,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,28,76,880074,435469,414565,453,Départementales12015,49.48,49.48,2.38,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,32,59,1794274,839886,803289,1822,Départementales12015,46.81,46.81,2.04,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,32,60,556048,285358,274509,1594,Départementales12015,51.32,51.32,1.95,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,32,62,1085420,562334,534258,1954,Départementales12015,51.81,51.81,2.59,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,32,80,407526,218149,205647,1565,Départementales12015,53.53,53.53,3.07,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,44,10,203973,102279,97263,266,Départementales12015,50.14,50.14,2.46,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,44,54,491454,236664,226727,1518,Départementales12015,48.16,48.16,2.02,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,44,55,138345,73425,69218,143,Départementales12015,53.07,53.07,3.04,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,44,57,752911,337861,323872,1798,Départementales12015,44.87,44.87,1.86,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,44,68,528124,252450,239327,958,Départementales12015,47.8,47.8,2.48,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,44,88,284404,149809,141077,301,Départementales12015,52.67,52.67,3.07,Bleu marine,#0C295A
Debout la France,BC-DLF,2015,Départementales,1,52,44,957141,485376,462513,1864,Départementales12015,50.71,50.71,2.39,Bleu marine,#0C295A
