,liste,nom_liste,nuance,annee,election,tour,region,inscrits,votants,exprimes,voix,clef,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
0,Alain FÉDÈLE,Divers,LDIV,2015,Régionales,1,84,5310770,2597323,2507815,21723,Régionales12015,0.87,48.91,1.69,Gris,#E0E0E0
1,Alain PARISOT,Divers,LDIV,2015,Régionales,1,52,2664831,1331536,1268942,16022,Régionales12015,1.26,49.97,2.35,Gris,#E0E0E0
2,Charles-Henri GALLOIS,Divers,LDIV,2015,Régionales,1,27,1996679,1009561,962968,8835,Régionales12015,0.92,50.56,2.33,Gris,#E0E0E0
3,Daniel ROMANI,Divers,LDIV,2015,Régionales,1,93,3526091,1831409,1775257,10752,Régionales12015,0.61,51.94,1.59,Gris,#E0E0E0
4,David APPADOO,Divers,LDIV,2015,Régionales,1,04,625471,278009,265794,1264,Régionales12015,0.48,44.45,1.95,Gris,#E0E0E0
5,David WENTZEL,Divers,LDIV,2015,Régionales,1,44,3885530,1861600,1777643,19171,Régionales12015,1.08,47.91,2.16,Gris,#E0E0E0
6,Dawari HORSFALL,Divers,LDIV,2015,Régionales,1,11,7087089,3252700,3153293,7096,Régionales12015,0.23,45.9,1.4,Gris,#E0E0E0
7,Eric MASCARO,Divers,LDIV,2015,Régionales,1,32,4237839,2322851,2236792,14345,Régionales12015,0.64,54.81,2.03,Gris,#E0E0E0
8,François ASSELINEAU,Divers,LDIV,2015,Régionales,1,11,7087089,3252700,3153293,29755,Régionales12015,0.94,45.9,1.4,Gris,#E0E0E0
9,Jean-Christophe LOUTRE,Divers,LDIV,2015,Régionales,1,28,2390813,1194273,1144411,10641,Régionales12015,0.93,49.95,2.09,Gris,#E0E0E0
10,Jean-François GOURVENEC,Divers,LDIV,2015,Régionales,1,53,2421863,1249241,1202276,10412,Régionales12015,0.87,51.58,1.94,Gris,#E0E0E0
11,Mathias PAYET,Divers,LDIV,2015,Régionales,1,04,625471,278009,265794,3895,Régionales12015,1.47,44.45,1.95,Gris,#E0E0E0
12,Nathalie JOS,Divers,LDIV,2015,Régionales,1,02,310723,127716,120629,3868,Régionales12015,3.21,41.1,2.28,Gris,#E0E0E0
13,Nizarr BOURCHADA,Divers,LDIV,2015,Régionales,1,11,7087089,3252700,3153293,12528,Régionales12015,0.4,45.9,1.4,Gris,#E0E0E0
14,Sylvain DE SMET,Divers,LDIV,2015,Régionales,1,11,7087089,3252700,3153293,9547,Régionales12015,0.3,45.9,1.4,Gris,#E0E0E0
15,Thierry FOUQUIAU,Divers,LDIV,2015,Régionales,1,24,1817345,900317,859957,12759,Régionales12015,1.48,49.54,2.22,Gris,#E0E0E0
16,William DOUET,Divers,LDIV,2015,Régionales,1,75,4269146,2175973,2068865,19050,Régionales12015,0.92,50.97,2.51,Gris,#E0E0E0
17,Yvan HIRIMIRIS,Divers,LDIV,2015,Régionales,1,76,4124642,2154655,2053576,14601,Régionales12015,0.71,52.24,2.45,Gris,#E0E0E0
