election,tour,region,inscrits,votants,exprimes,liste,nuance,nomNuance,voix,annee,clef,voixPourcent,participationPourcent,blancsNulsPourcent,nom,Couleur,codeCouleur
Européennes,1,01,306793,28397,26344,Dominique FRUT,LDIV,Divers,244,2014,Européennes-2014-T1,0.93,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Ghislaine JOACHIM-ARNAUD,LEXG,Extrême gauche,2023,2014,Européennes-2014-T1,7.68,9.26,0.67,Guadeloupe,Rouge,#EE4A40
Européennes,1,01,306793,28397,26344,Grace NDAME MPONDO,LDIV,Divers,4,2014,Européennes-2014-T1,0.02,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Guy HADJI,LDIV,Divers,11,2014,Européennes-2014-T1,0.04,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Hugues MAILLOT,LDVD,Divers droite,241,2014,Européennes-2014-T1,0.91,9.26,0.67,Guadeloupe,Bleu,#045BFF
Européennes,1,01,306793,28397,26344,Jean-Jacob BICEP,LDIV,Divers,1473,2014,Européennes-2014-T1,5.59,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Jean-Pierre MAPOLIN,LDIV,Divers,125,2014,Européennes-2014-T1,0.47,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Jean Roland ANGO,LDIV,Divers,20,2014,Européennes-2014-T1,0.08,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Kelly CITADELLE-VELIN,LDVD,Divers droite,559,2014,Européennes-2014-T1,2.12,9.26,0.67,Guadeloupe,Bleu,#045BFF
Européennes,1,01,306793,28397,26344,Léonard SAM,LUC,Union du centre,1529,2014,Européennes-2014-T1,5.8,9.26,0.67,Guadeloupe,Bleu ciel,#39C3FF
Européennes,1,01,306793,28397,26344,Marie-France GALLET,LDIV,Divers,183,2014,Européennes-2014-T1,0.69,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Marie-Luce BRASIER-CLAIN,LFN,Front National,2280,2014,Européennes-2014-T1,8.65,9.26,0.67,Guadeloupe,Bleu marine,#0C295A
Européennes,1,01,306793,28397,26344,Maurice PONGA,LUMP,Union pour un Mouvement Populaire,7420,2014,Européennes-2014-T1,28.17,9.26,0.67,Guadeloupe,Bleu,#045BFF
Européennes,1,01,306793,28397,26344,Monique FILLAT,LDIV,Divers,122,2014,Européennes-2014-T1,0.46,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Patricia POMPILIUS,LDIV,Divers,774,2014,Européennes-2014-T1,2.94,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Philippe LE CONSTANT,LUG,Union de la gauche,6244,2014,Européennes-2014-T1,23.7,9.26,0.67,Guadeloupe,Rose,#FF5E9A
Européennes,1,01,306793,28397,26344,Roseline SURVEILLANT,LDIV,Divers,20,2014,Européennes-2014-T1,0.08,9.26,0.67,Guadeloupe,Gris,#E0E0E0
Européennes,1,01,306793,28397,26344,Younous OMARJEE,LDVG,Divers gauche,979,2014,Européennes-2014-T1,3.72,9.26,0.67,Guadeloupe,Rose,#FF5E9A
Européennes,1,01,306793,28397,26344,Yvette DUCHEMANN,LVEC,Europe-Ecologie-Les Verts,2093,2014,Européennes-2014-T1,7.94,9.26,0.67,Guadeloupe,Vert,#44EE8B
Européennes,1,01,307795,44223,38256,ALLIANCE JAUNE,,,6,2019,Européennes-2019-T1,0.02,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,ALLONS ENFANTS,,,12,2019,Européennes-2019-T1,0.03,14.37,1.94,Guadeloupe,,
Européennes,1,01,307795,44223,38256,À VOIX ÉGALES,,,17,2019,Européennes-2019-T1,0.04,14.37,1.94,Guadeloupe,,
